RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
116,8,Rome Odunze,CHI,WR45,7,4 out of 5 stars,-
117,8,Ladd McConkey,LAC,WR46,5,3 out of 5 stars,-
118,8,Austin Ekeler,WAS,RB34,14,3 out of 5 stars,-
119,8,Dallas Goedert,PHI,TE11,5,4 out of 5 stars,-
120,8,Gus Edwards,LAC,RB35,5,4 out of 5 stars,-
121,8,Ezekiel Elliott,DAL,RB36,7,3 out of 5 stars,-
122,8,Brock Bowers,LV,TE12,10,4 out of 5 stars,-
123,8,Nick Chubb,CLE,RB37,10,4 out of 5 stars,-
124,8,Tyler Lockett,SEA,WR47,10,3 out of 5 stars,-
125,8,Brian Thomas Jr.,JAC,WR48,12,4 out of 5 stars,-
126,8,Jameson Williams,DET,WR49,5,4 out of 5 stars,-
127,8,Chase Brown,CIN,RB38,12,3 out of 5 stars,-
128,8,Jerome Ford,CLE,RB39,10,4 out of 5 stars,-
129,9,Pat Freiermuth,PIT,TE13,9,3 out of 5 stars,-
